Title,confirm,Address,phone,Price,dish,special_diet,rating,review
The Eatery, Đã được xác nhận,"118-120 Võ Nguyên Giáp, Phuoc My, Son Tra Four Points By Sheraton Danang, Đà Nẵng 550000 Việt Nam",+84 236 3997 979,90.000 ₫ - 390.000 ₫,"Quốc tế, Kiểu Việt, Hải sản, Kiểu Á","Tùy chọn đồ ăn không có gluten, Phù hợp với người ăn chay, Tùy chọn ăn chay","5,0 ",164 đánh giá
Thìa Gỗ Restaurant Da Nang, Đã được xác nhận,"53 Phan Thúc Duyện Mỹ An, Đà Nẵng 50507 Việt Nam",+84 236 3689 005,40.000 ₫ - 500.000 ₫,Kiểu Việt,"Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","5,0 ",1.601 đánh giá
La Plage, Đã được xác nhận,"35 Truong Sa Street Hoa Hai Ward, Ngu Hanh Son District, Đà Nẵng 550000 Việt Nam",+84 236 3988 999,58.000 ₫ - 1.350.000 ₫,"Hải sản, Quốc tế, Kiểu Việt, Kiểu Á, Món kết hợp","Phù hợp với người ăn chay, Tùy chọn ăn chay","5,0 ",124 đánh giá
Sky View Restaurant, Đã được xác nhận,"216 Võ Nguyên Giáp Tầng 20, Belle Maison Parosand, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng 550000 Việt Nam",+84 236 3928 688,50 ₫ - 900 ₫,"Tốt cho sức khỏe, Quốc tế","Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","5,0 ",400 đánh giá
Horizon Bar, Đã được xác nhận,"118-120 Võ Nguyên Giáp, Phước Mỹ, Sơn Trà Four Points By Sheraton Danang, Đà Nẵng 550000 Việt Nam",+84 236 3997 979,90.000 ₫ - 895.000 ₫,"Quốc tế, Quầy bar, Quán rượu","Bữa trưa, Bữa tối, Bữa sáng, Đêm muộn, Đồ uống","5,0 ",128 đánh giá
The Golden Dragon, Đã được xác nhận,"Tầng 2, Khách sạn Grand Mercure Danang, Lô A1 Khu Đảo Xanh, Hòa Cường Bắc, Hải Châu, Đà Nẵng 550000 Việt Nam",+84 236 3797 777,"Kiểu Trung Quốc, Kiểu Á, Quốc tế, Tốt cho sức khỏe","Phù hợp với người ăn chay, Tùy chọn ăn chay","Bữa trưa, Bữa tối, Bữa nửa buổi","5,0 ",183 đánh giá
Bếp Cuốn Đà Nẵng, Đã được xác nhận,"54 Nguyễn Văn Thoại Ngũ Hành Sơn, Đà Nẵng 550000 Việt Nam",+84 70 2689 989,5 ₫ - 15 ₫,"Kiểu Việt, Kiểu Á, Tốt cho sức khỏe","Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","5,0 ",358 đánh giá
Table 88, Đã được xác nhận,"35 Trường Sa Sheraton Grand Danang Resort, Hòa Hải, Ngũ Hành Sơn, Đà Nẵng 550000 Việt Nam",+84 236 3988 999,98.000 ₫ - 9.888.000 ₫,"Quốc tế, Kiểu Việt, Kiểu Á, Món kết hợp","Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","5,0 ",237 đánh giá
Mộc Seafood, Đã được xác nhận,"26 Tô Hiến Thành Sơn Trà, Đà Nẵng 550000 Việt Nam",+84 90 566 50 58,50 ₫ - 1.000 ₫,"Hải sản, Cửa hàng thức ăn ngon, Kiểu Việt, Kiểu Bữa tối, Tốt cho sức khỏe, Kiểu Á","Bữa trưa, Bữa tối","5,0 ",230 đánh giá
Nhà Hàng La Tiato, Đã được xác nhận,"09 Le Quang Dao Quận Ngũ Hành Sơn, Đà Nẵng 550000 Việt Nam",+84 236 3528 567,116.279 ₫ - 1.162.791 ₫,"Kiểu Mỹ, Quầy bar, Kiểu Âu, Kiểu Việt, Kiểu Á","Phù hợp với người ăn chay, Tùy chọn ăn chay, Tùy chọn đồ ăn không có gluten","5,0 ",180 đánh giá
